dataset	model	rank	feature	mean_abs_shap
pcp_aac_ctd	svm_rbf	6	P	0.011580522275912735
pcp_aac_ctd	svm_rbf	7	_PolarizabilityT13	0.009672327201398035
pcp_aac_ctd	svm_rbf	8	_NormalizedVDWVC1	0.009468060164527644
pcp_aac_ctd	svm_rbf	9	_ChargeC3	0.009307251911858001
pcp_aac_ctd	svm_rbf	10	_SecondaryStrT13	0.009178742659152977
pcp_aac_ctd	svm_rbf	11	_PolarityD2050	0.008779394981640674
pcp_aac_ctd	svm_rbf	12	_ChargeD3050	0.008189604341696155
pcp_aac_ctd	svm_rbf	13	_SecondaryStrC3	0.00818112777337351
pcp_aac_ctd	svm_rbf	14	T	0.00818087454051355
pcp_aac_ctd	svm_rbf	15	_SecondaryStrD1100	0.008096605646117912
pcp_aac_ctd	svm_rbf	16	instability	0.007920007394589632
pcp_aac_ctd	svm_rbf	17	_ChargeT23	0.007661275955403111
pcp_aac_ctd	svm_rbf	18	_SolventAccessibilityD3075	0.007571230282853739
pcp_aac_ctd	svm_rbf	19	_ChargeD2075	0.0075254841764442245
pcp_aac_ctd	svm_rbf	20	L	0.007477451152289718
pcp_aac_ctd	xgboost	1	pI	0.5394542868388821
pcp_aac_ctd	xgboost	2	P	0.5329056520182329
pcp_aac_ctd	xgboost	3	E	0.3318778585058171
pcp_aac_ctd	xgboost	4	instability	0.3225407528912805
pcp_aac_ctd	xgboost	5	_SolventAccessibilityD3001	0.3067510623724822
pcp_aac_ctd	xgboost	6	_ChargeC3	0.30169485251966405
pcp_aac_ctd	xgboost	7	_SecondaryStrD3001	0.2755673787694036
