dataset	seed	model	val_mcc	test_mcc	test_accuracy	test_f1	test_precision	test_recall
pcp_aac_ctd_dpc	3	random_forest	0.8623164985025762	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	3	knn	0.5637400495009758	0.5804870718988592	0.8380952380952381	0.6382978723404256	0.5	0.8823529411764706
pcp_aac_ctd_dpc	3	xgboost	0.8264206038650982	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	4	svm_linear	0.8733624684815949	0.8290866963944723	0.9523809523809523	0.8571428571428571	0.8333333333333334	0.8823529411764706
pcp_aac_ctd_dpc	4	svm_rbf	0.8618420371603257	0.7381677592978937	0.9333333333333333	0.7407407407407407	1.0	0.5882352941176471
pcp_aac_ctd_dpc	4	logistic_regression	0.8733624684815949	0.8290866963944723	0.9523809523809523	0.8571428571428571	0.8333333333333334	0.8823529411764706
pcp_aac_ctd_dpc	4	random_forest	0.7897188828807975	0.696630546019236	0.9238095238095239	0.6923076923076923	1.0	0.5294117647058824
pcp_aac_ctd_dpc	4	knn	0.4988089759502503	0.42644893468125755	0.7714285714285715	0.52	0.3939393939393939	0.7647058823529411
pcp_aac_ctd_dpc	4	xgboost	0.7897188828807975	0.696630546019236	0.9238095238095239	0.6923076923076923	1.0	0.5294117647058824
pcp_aac_ctd_dpc	5	svm_linear	0.6490641711229946	0.7446564204948336	0.9238095238095239	0.7894736842105263	0.75	0.8333333333333334
pcp_aac_ctd_dpc	5	svm_rbf	0.8172708784757683	0.8264206038650982	0.9523809523809523	0.8387096774193549	1.0	0.7222222222222222
pcp_aac_ctd_dpc	5	logistic_regression	0.6769181411375511	0.8090094444882143	0.9428571428571428	0.8421052631578947	0.8	0.8888888888888888
pcp_aac_ctd_dpc	5	random_forest	0.7783040514449475	0.7520657131391064	0.9333333333333333	0.7586206896551724	1.0	0.6111111111111112
pcp_aac_ctd_dpc	5	knn	0.5118906968889915	0.6473691165720082	0.8571428571428571	0.6938775510204082	0.5483870967741935	0.9444444444444444
pcp_aac_ctd_dpc	5	xgboost	0.8172708784757683	0.7496972056282853	0.9333333333333333	0.7741935483870968	0.9230769230769231	0.6666666666666666
pcp_aac_ctd_dpc	6	svm_linear	0.7318007662835249	0.820797503120229	0.9523809523809523	0.8484848484848485	0.875	0.8235294117647058
pcp_aac_ctd_dpc	6	svm_rbf	0.8975274678557507	0.8172708784757683	0.9523809523809523	0.8275862068965517	1.0	0.7058823529411765
pcp_aac_ctd_dpc	6	logistic_regression	0.7051592297099042	0.7192513368983957	0.9238095238095239	0.7647058823529411	0.7647058823529411	0.7647058823529411
pcp_aac_ctd_dpc	6	random_forest	0.7520657131391064	0.7783040514449475	0.9428571428571428	0.7857142857142857	1.0	0.6470588235294118
pcp_aac_ctd_dpc	6	knn	0.434824587426979	0.5232559521341829	0.819047619047619	0.5957446808510638	0.4666666666666667	0.8235294117647058
pcp_aac_ctd_dpc	6	xgboost	0.8623164985025762	0.7360081490818708	0.9333333333333333	0.7586206896551724	0.9166666666666666	0.6470588235294118
pcp_aac_ctd_dpc	7	svm_linear	0.7894385026737968	0.8290866963944723	0.9523809523809523	0.8571428571428571	0.8823529411764706	0.8333333333333334
pcp_aac_ctd_dpc	7	svm_rbf	0.8163443762793043	0.8623164985025762	0.9619047619047619	0.875	1.0	0.7777777777777778
pcp_aac_ctd_dpc	7	logistic_regression	0.7604861423192796	0.8290866963944723	0.9523809523809523	0.8571428571428571	0.8823529411764706	0.8333333333333334
pcp_aac_ctd_dpc	7	random_forest	0.6500909243816677	0.6731456008918131	0.9142857142857143	0.6666666666666666	1.0	0.5
pcp_aac_ctd_dpc	7	knn	0.3751612140567142	0.45392193776612677	0.7333333333333333	0.5333333333333333	0.38095238095238093	0.8888888888888888
pcp_aac_ctd_dpc	7	xgboost	0.7767551850454794	0.6731456008918131	0.9142857142857143	0.6666666666666666	1.0	0.5
pcp_aac_ctd_dpc	8	svm_linear	0.6427374537191196	0.7593093684227009	0.9238095238095239	0.8	0.7272727272727273	0.8888888888888888
