feature	mean_abs_shap
IH	0.00014694403599301454
_ChargeD2050	0.00014655229096268604
KI	0.00014538835675692875
HQ	0.00014134822321943235
AD	0.00014094578364046191
MK	0.00013945041992717116
AV	0.0001351575634717008
YT	0.0001342655638837203
NP	0.00013279816402174763
_NormalizedVDWVT13	0.0001297354936224288
WK	0.0001256038076920945
ME	0.00012276017177904192
FN	0.00012148422722976931
RV	0.00011927872423474367
QT	0.00011839217476975006
DP	0.00011690508449835809
IS	0.00011544616700031617
VQ	0.00011398517872198997
PI	0.00011390235086353692
FA	0.0001111350694206663
PT	0.00010785047835712043
QQ	0.00010490987412681589
HN	0.00010294484929483464
KP	9.832947596918156e-05
KM	9.618538294474021e-05
MC	9.40761519708713e-05
SA	9.283555626730631e-05
_PolarizabilityD2001	8.744933021253879e-05
TW	8.050538701381337e-05
MQ	7.795808928741018e-05
NE	7.609442410582389e-05
FM	7.537733283836429e-05
MM	7.24209288045076e-05
PH	6.644429517489797e-05
ND	5.480767006334262e-05
CD	5.099241152771598e-05
VG	4.3586517991258724e-05
AK	4.0335595724019484e-05
RF	3.938285060295133e-05
YY	3.8023142464237196e-05
EH	3.7991518368992644e-05
YC	3.676976472076765e-05
CA	3.673292393145469e-05
GT	3.6659367141687585e-05
FK	3.655249639011578e-05
PA	3.5964833848130955e-05
WT	3.5437411952511294e-05
LM	3.287807356289092e-05
RW	3.1848899159631345e-05
NY	3.074651205604439e-05
HV	2.2713195522726466e-05
NV	2.230728996973742e-05
YQ	2.001915392564962e-05
YG	1.8160824019230714e-05
CM	1.6958922417821588e-05
PY	1.3007237679082036e-05
WR	9.232280104101413e-06
HY	0.0
HW	0.0
YM	0.0
PW	0.0
SM	0.0
HS	0.0
VP	0.0
CW	0.0
WH	0.0
TM	0.0
WW	0.0
WV	0.0
FY	0.0
MY	0.0
MW	0.0
MV	0.0
WM	0.0
MH	0.0
MF	0.0
WD	0.0
